,Rk,Player,Pos,MP,Starts,Min,90s,Gls,Ast,NPG,PG,PA_x,YC,RC,Gls/90,Ast/90,G+A/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,SCA,SCA/90,SCPass,SCDeadPass,SCDrib,GCA,GCA/90,GCPass,GCDeadPass,GCDrib,PossTkl,TklDef3rd,TklMid3rd,TklAtt3rd,DriblTkl%,DriblledPast,%SuccPress,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,ShotBlocks,Interception,Clearances,GoalErrors,TCP,PA_y,TotDist,PrgDist,TSPC,SPA,TMPC,MPA,TLPC,LPA,KeyP,Pass18,Cross18,ProgPass,Live,Dead,FKPass,PressPass,Cross,LeftP,RightP,Touches,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,SuccDrib,AtmpDrib,Nutnegs,Carries,TotDistCarry,PrgDistCarry,CarryAtt3rd,Carry18Yd,CarryDIsp
0,1,Max Aarons,DF,18,18,1620,18.0,0,1,0,0,0,4,0,0.0,0.06,0.06,0.6,0.6,0.9,1.4,0.03,0.05,0.08,0.03,0.08,23,1.28,19,0,1,4,0.22,4,0,0,24,28,9,0,61.1,14,28.2,122,66,21,46,14,26,34,0,643,829,11037,3813,317,347,257,326,61,124,12,27,7,65,650,179,9,89,35,89,548,1056,389,454,289,16,25,53,4,647,3836,2370,34,7,20
1,2,Che Adams,FW,13,11,868,9.6,3,1,3,0,0,0,0,0.31,0.1,0.41,2.4,2.4,1.4,3.8,0.25,0.15,0.4,0.25,0.4,20,2.07,14,0,1,2,0.21,1,0,0,6,2,2,4,33.3,2,26.4,16,49,75,15,4,6,9,0,130,195,1891,421,78,100,35,53,9,18,10,6,1,16,189,6,0,55,4,15,144,328,45,142,157,44,4,12,0,202,796,369,6,3,20
2,3,Rayan Aït Nouri,DF,9,8,718,8.0,0,1,0,0,0,1,0,0.0,0.13,0.13,0.3,0.3,0.6,0.8,0.04,0.07,0.11,0.04,0.11,15,1.88,6,5,3,1,0.13,0,1,0,22,30,6,3,60.0,10,34.4,111,49,23,10,0,17,14,0,312,440,5292,1870,160,177,122,164,28,78,6,6,4,17,352,88,6,61,22,297,53,558,205,201,172,18,17,31,2,343,1681,1100,8,7,17
3,4,Kristoffer Ajer,DF,7,6,565,6.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.03,0.05,0.07,0.03,0.07,6,0.96,4,1,0,0,0.0,0,0,0,5,8,1,2,50.0,7,31.6,29,24,4,9,4,13,35,0,136,209,2410,1083,56,66,65,91,11,35,1,2,1,12,163,46,6,34,3,9,129,289,128,134,44,9,4,6,0,126,774,452,5,0,2
4,5,Nathan Aké,DF,8,6,581,6.5,1,0,1,0,0,0,0,0.15,0.0,0.15,0.3,0.3,0.0,0.3,0.04,0.0,0.04,0.04,0.04,0,0.0,0,0,0,0,0.0,0,0,0,4,2,3,1,50.0,1,30.8,17,19,3,8,5,12,22,0,456,495,8110,2313,200,211,219,237,34,43,0,3,0,15,476,19,3,34,0,356,89,549,192,321,80,3,0,2,0,402,2084,1406,9,0,1
5,6,Marc Albrighton,"DF,FW",8,4,430,4.8,1,0,1,0,0,1,0,0.21,0.0,0.21,0.5,0.5,0.3,0.7,0.1,0.06,0.15,0.1,0.15,6,1.26,3,2,0,0,0.0,0,0,0,6,7,6,3,23.1,10,18.9,44,69,19,8,1,13,3,0,90,157,1593,778,50,56,31,48,8,42,4,3,2,8,122,35,3,31,8,9,124,218,51,100,76,5,10,18,1,124,503,186,3,2,7
6,7,Thiago Alcántara,MF,11,8,676,7.5,1,1,1,0,0,1,0,0.13,0.13,0.27,1.5,1.5,1.0,2.5,0.19,0.13,0.33,0.19,0.33,29,3.86,23,0,0,2,0.27,2,0,0,19,10,13,3,23.5,13,40.5,38,62,26,9,1,11,7,1,563,645,11943,3341,195,215,263,289,100,128,10,8,0,79,636,9,5,90,0,41,565,718,137,465,169,20,2,6,0,527,2315,1203,23,4,5
7,8,Trent Alexander-Arnold,DF,18,18,1594,17.7,2,9,2,0,0,1,0,0.11,0.51,0.62,1.9,1.9,7.1,9.0,0.11,0.4,0.51,0.11,0.51,90,5.08,53,32,1,12,0.68,8,4,0,15,12,10,3,38.9,22,35.6,60,52,51,21,2,48,29,1,1162,1536,25145,10107,449,508,451,552,250,437,54,50,12,168,1223,313,55,128,69,167,1148,1702,341,795,642,53,12,20,0,979,3666,2023,38,9,15
8,9,Alisson,GK,18,18,1620,18.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.06,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,66.7,3,0,0,0,0,0,1,1,566,644,14906,8162,93,93,326,329,146,221,0,0,0,0,534,110,27,32,0,39,496,703,697,6,0,0,1,2,0,412,1462,800,0,0,0
9,10,Allan,MF,16,16,1407,15.6,0,2,0,0,0,2,0,0.0,0.13,0.13,0.1,0.1,0.5,0.6,0.01,0.03,0.04,0.01,0.04,21,1.34,20,0,0,6,0.38,5,0,0,38,24,17,5,19.2,42,31.4,162,206,37,31,5,26,28,0,456,595,9033,2819,157,188,215,259,70,112,11,13,2,73,556,39,14,91,4,66,495,760,225,437,140,9,12,16,1,457,2322,1255,18,2,17
10,11,Dele Alli,"MF,FW",10,8,657,7.3,1,0,0,1,1,1,0,0.14,0.0,0.14,1.5,0.7,0.8,1.5,0.2,0.11,0.31,0.1,0.21,8,1.1,5,0,0,1,0.14,0,0,0,7,11,6,2,29.4,12,26.3,81,92,36,25,5,17,12,0,167,214,2687,651,94,108,56,69,14,27,2,5,0,19,202,12,6,42,3,10,180,331,87,172,97,20,5,18,2,213,908,446,6,0,18
11,12,Miguel Almirón,MF,16,11,975,10.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.9,0.9,0.4,1.3,0.08,0.04,0.12,0.08,0.12,29,2.68,21,0,0,3,0.28,3,0,0,20,21,7,6,30.3,23,24.1,88,91,53,15,1,14,6,0,212,271,3459,845,117,135,71,90,20,30,10,5,1,20,265,6,2,45,15,242,13,413,91,167,186,32,8,19,1,289,1926,928,11,4,23
12,13,Marcos Alonso,DF,15,14,1257,14.0,1,2,1,0,0,4,0,0.07,0.14,0.21,1.6,1.6,2.8,4.4,0.11,0.2,0.31,0.11,0.31,46,3.29,34,7,1,6,0.43,4,1,0,20,14,10,7,48.0,13,27.2,73,63,44,27,3,41,36,0,572,761,10241,3690,269,306,233,283,58,131,25,15,7,58,597,164,15,123,36,543,59,964,258,327,412,38,9,19,1,524,2563,1436,12,8,19
13,14,Steven Alzate,MF,4,1,99,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.07,0.12,0.19,0.07,0.19,3,2.73,3,0,0,0,0.0,0,0,0,4,1,2,1,100.0,0,30.4,9,8,6,2,0,1,2,0,55,59,1019,221,23,24,17,17,11,13,2,1,1,5,59,0,0,12,2,3,49,75,16,47,17,2,0,0,0,52,235,115,3,0,2
14,15,Daniel Amartey,DF,10,9,786,8.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.92,7,0,0,0,0.0,0,0,0,3,4,3,0,41.7,7,31.1,38,21,2,20,12,12,38,1,444,501,8866,2746,137,147,251,270,53,71,1,0,0,28,490,11,9,52,0,42,420,591,322,283,15,0,3,5,0,405,1725,1030,4,0,1
15,16,Joachim Andersen,DF,16,14,1296,14.4,0,1,0,0,0,3,0,0.0,0.07,0.07,0.3,0.3,0.5,0.8,0.02,0.04,0.06,0.02,0.06,13,0.9,10,1,0,3,0.21,2,0,0,10,12,4,0,46.2,7,31.4,43,23,4,18,8,35,66,2,829,962,20947,5989,152,165,446,470,228,320,6,4,1,38,932,30,27,57,3,85,807,1109,683,467,31,12,2,4,0,700,3960,1938,1,0,4
16,17,Michail Antonio,FW,19,18,1660,18.4,8,5,8,0,1,5,1,0.43,0.27,0.7,7.4,7.2,4.2,11.4,0.4,0.23,0.63,0.39,0.62,67,3.63,45,0,6,11,0.6,6,0,1,13,4,5,8,40.0,6,29.8,21,95,129,13,0,7,8,0,263,403,4282,813,146,193,81,120,26,46,32,17,8,20,389,14,1,107,32,66,280,677,48,251,425,107,20,46,4,506,2479,1475,25,21,53
17,18,Cameron Archer,"MF,FW",3,0,27,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,0.0,0,2,2,0,0,1,1,0,5,5,91,28,1,1,4,4,0,0,0,1,0,3,5,0,0,1,0,1,3,12,1,2,9,3,1,2,0,7,15,0,0,0,1
18,19,Adam Armstrong,"FW,MF",16,14,1171,13.0,2,2,2,0,0,1,0,0.15,0.15,0.31,4.0,4.0,1.7,5.7,0.31,0.13,0.44,0.31,0.44,26,2.0,15,0,4,3,0.23,2,0,0,6,3,3,3,0.0,4,27.3,21,67,99,7,1,7,4,0,170,244,2949,462,74,99,78,103,13,25,12,11,0,20,218,26,0,49,18,45,177,382,34,153,225,65,14,29,1,265,1527,847,15,14,20
19,20,Stuart Armstrong,MF,6,2,217,2.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,0.18,0.11,0.3,0.18,0.3,8,3.32,8,0,0,0,0.0,0,0,0,1,1,0,1,20.0,4,38.2,8,15,11,2,0,2,3,0,63,93,1042,186,35,50,23,29,4,9,6,0,0,4,93,0,0,21,2,15,67,116,17,54,56,9,1,4,0,88,648,328,7,2,2
20,21,Kepa Arrizabalaga,GK,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,28,30,730,379,4,4,15,15,8,10,0,0,0,0,26,4,0,6,0,4,19,31,31,0,0,0,0,0,0,20,65,29,0,0,0
21,22,Harrison Ashby,DF,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,,0,0,0,1,0,1,0,0,7,8,142,18,2,2,4,5,1,1,0,0,0,0,7,1,0,0,0,0,6,9,3,1,5,0,0,0,0,4,21,5,0,0,0
22,23,Pierre-Emerick Aubameyang,FW,14,12,1037,11.5,4,1,4,0,2,3,0,0.35,0.09,0.43,5.8,4.1,0.8,5.0,0.5,0.07,0.57,0.36,0.43,23,2.0,14,0,1,3,0.26,2,0,0,7,5,5,2,33.3,4,26.4,23,78,100,19,3,1,3,0,143,203,1995,383,92,115,40,62,8,14,9,10,1,13,197,6,0,62,9,27,150,320,34,139,167,55,2,6,0,168,1020,597,11,9,5
23,24,Jordan Ayew,FW,19,16,1318,14.6,1,2,1,0,0,1,0,0.07,0.14,0.2,2.2,2.2,2.1,4.3,0.15,0.14,0.3,0.15,0.3,38,2.59,24,1,1,4,0.27,2,0,0,24,14,17,5,50.0,9,29.3,83,138,93,27,3,18,4,0,382,502,5864,1172,216,242,131,165,26,59,18,13,4,32,495,7,2,87,37,17,441,770,109,415,327,56,28,58,5,602,3694,2120,36,18,47
24,25,Luke Ayling,DF,10,10,898,10.0,1,1,1,0,0,0,0,0.1,0.1,0.2,0.4,0.4,0.1,0.5,0.04,0.01,0.05,0.04,0.05,9,0.9,6,0,0,1,0.1,0,0,0,11,14,6,0,47.8,12,35.6,66,41,11,25,19,17,29,1,560,686,12275,5177,186,209,261,289,108,171,2,4,2,54,635,51,17,87,7,62,548,796,447,334,79,8,9,13,1,511,3102,1912,11,0,7
25,26,César Azpilicueta,DF,14,13,1120,12.4,0,2,0,0,0,0,0,0.0,0.16,0.16,0.6,0.6,1.6,2.2,0.05,0.13,0.18,0.05,0.18,28,2.25,26,0,1,8,0.64,6,0,1,18,19,13,3,54.2,11,28.7,82,73,26,35,6,16,40,0,739,906,12504,5114,353,392,334,387,46,100,10,14,1,69,806,100,19,98,22,69,686,1042,333,488,260,26,6,8,0,598,2375,1337,13,0,4
26,27,Daniel Bachmann,GK,10,10,900,10.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,181,307,6968,4805,17,17,71,73,93,217,0,0,0,0,201,106,31,12,0,16,227,341,338,3,0,0,1,1,0,153,840,540,0,0,0
27,28,Leon Bailey,"FW,MF",9,4,424,4.7,1,2,1,0,0,1,0,0.21,0.42,0.64,1.1,1.1,0.3,1.4,0.24,0.06,0.3,0.24,0.3,13,2.76,9,0,1,3,0.64,2,0,1,10,6,6,3,37.5,5,37.3,15,22,22,6,2,3,3,0,86,130,1529,325,39,48,31,43,13,32,5,6,2,11,119,11,1,19,13,87,31,207,31,73,119,18,10,17,1,153,927,473,3,6,18
28,29,Eric Bailly,DF,4,3,217,2.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.41,1,0,0,0,0.0,0,0,0,3,6,2,0,50.0,1,42.9,14,6,1,5,2,9,9,0,64,80,1365,459,24,26,26,30,14,22,0,0,0,3,76,4,4,10,0,16,52,113,73,41,3,0,0,2,0,62,313,142,0,0,3
29,30,Folarin Balogun,FW,2,1,70,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.35,0.0,0.35,0.35,0.35,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,23.8,2,2,17,1,0,0,1,0,4,8,60,6,2,4,2,3,0,1,0,0,0,0,8,0,0,3,0,1,6,23,3,10,12,6,0,2,0,16,50,16,0,1,2
30,31,Patrick Bamford,FW,6,5,459,5.1,2,2,2,0,0,2,0,0.39,0.39,0.78,3.2,3.2,0.6,3.8,0.63,0.11,0.74,0.63,0.74,9,1.76,7,0,1,3,0.59,2,0,1,1,1,1,0,33.3,2,34.0,4,41,49,6,3,3,8,0,71,88,1121,149,42,46,21,26,7,11,4,4,1,6,75,13,0,17,3,63,15,151,22,67,72,31,3,7,0,90,343,152,2,1,6
31,32,Shandon Baptiste,MF,13,7,616,6.8,1,1,1,0,0,2,1,0.15,0.15,0.29,0.5,0.5,0.3,0.8,0.08,0.04,0.12,0.08,0.12,11,1.61,8,0,1,1,0.15,1,0,0,3,4,1,1,33.3,4,33.3,43,62,33,12,0,11,7,0,145,172,2455,488,70,79,57,65,13,20,5,4,1,9,172,0,0,36,4,25,133,243,57,128,86,13,8,11,0,170,855,478,11,1,4
32,33,Ross Barkley,MF,5,1,154,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.8,0.8,0.5,1.4,0.48,0.32,0.8,0.48,0.8,17,9.94,11,3,2,3,1.75,3,0,0,1,0,1,0,0.0,1,20.0,1,9,5,1,0,2,0,0,90,110,1500,342,50,55,26,32,11,14,7,6,0,10,103,7,0,27,1,15,88,131,9,50,86,7,4,5,0,94,743,451,10,1,6
33,34,Ashley Barnes,FW,8,4,382,4.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.7,0.7,0.8,1.4,0.16,0.19,0.34,0.16,0.34,13,3.06,9,0,0,0,0.0,0,0,0,5,1,4,1,50.0,1,17.5,6,31,26,3,1,3,1,0,58,89,892,240,37,50,16,23,5,10,7,3,0,8,86,3,0,42,1,9,54,136,13,71,61,22,1,3,0,84,274,115,3,2,7
34,35,Harvey Barnes,"FW,MF",14,13,1025,11.4,2,2,2,0,0,2,0,0.18,0.18,0.35,2.3,2.3,1.3,3.6,0.2,0.12,0.32,0.2,0.32,23,2.02,19,0,2,2,0.18,1,0,0,5,1,7,3,11.1,8,30.8,30,55,45,13,1,4,4,0,249,338,3479,930,151,178,75,106,10,24,12,7,2,30,337,1,0,77,18,40,271,506,49,229,282,63,13,42,1,399,2489,1652,29,21,30
35,36,Mads Bech Sørensen,DF,4,3,290,3.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.02,0.0,0.02,4,1.24,1,3,0,0,0.0,0,0,0,3,3,0,0,50.0,1,44.4,12,5,1,1,1,8,11,0,136,178,2702,1112,43,50,74,86,17,36,2,1,1,2,146,32,2,11,7,113,26,200,123,77,14,0,0,0,0,111,710,488,2,0,0
36,37,Jan Bednarek,DF,14,13,1164,12.9,2,0,2,0,0,4,0,0.15,0.0,0.15,0.8,0.8,0.1,0.9,0.06,0.01,0.07,0.06,0.07,10,0.77,9,0,0,0,0.0,0,0,0,10,11,6,1,27.8,13,35.2,57,48,3,26,13,41,86,0,530,640,10957,3256,159,174,296,329,70,130,2,0,0,24,610,30,26,80,2,95,469,806,419,401,27,10,1,1,0,427,1951,1015,0,0,1
37,38,Donny van de Beek,MF,7,0,73,0.8,1,0,1,0,0,0,0,1.23,0.0,1.23,0.7,0.7,0.5,1.1,0.82,0.6,1.41,0.82,1.41,4,4.93,4,0,0,0,0.0,0,0,0,3,3,2,0,100.0,0,46.2,5,6,2,2,1,2,2,0,25,32,385,184,14,18,8,10,2,2,3,2,0,3,32,0,0,8,0,4,26,51,19,20,14,3,2,3,0,28,58,22,0,1,4
38,39,Asmir Begović,GK,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,1,0,12,23,453,291,0,0,5,5,7,18,0,0,0,0,10,13,1,1,0,0,21,25,25,0,0,0,0,0,0,5,24,16,0,0,0
39,40,Saïd Benrahma,"FW,MF",20,18,1438,16.0,5,4,5,0,0,0,0,0.31,0.25,0.56,3.3,3.3,2.1,5.4,0.21,0.13,0.34,0.21,0.34,47,2.94,37,0,3,5,0.31,5,0,0,14,11,7,5,42.3,15,22.7,71,122,49,14,1,6,5,0,413,545,6590,1519,239,278,130,166,35,66,20,23,9,42,530,15,4,103,39,89,423,736,94,309,386,65,19,46,4,555,3078,1646,21,16,26
40,41,Christian Benteke,FW,19,11,1069,11.9,4,1,4,0,0,3,0,0.34,0.08,0.42,5.4,5.4,1.1,6.4,0.45,0.09,0.54,0.45,0.54,18,1.52,15,0,1,1,0.08,1,0,0,2,2,4,1,33.3,4,26.6,8,48,53,8,4,1,26,1,194,277,2975,522,110,145,58,91,17,25,10,8,0,14,256,21,1,100,1,18,165,420,57,194,184,83,9,18,1,208,961,443,6,8,10
41,42,Jóhann Berg Guðmundsson,MF,17,13,1094,12.2,0,1,0,0,0,2,0,0.0,0.08,0.08,1.7,1.7,0.3,2.0,0.14,0.03,0.16,0.14,0.16,19,1.56,14,0,1,2,0.16,2,0,0,9,10,7,2,47.4,10,25.7,47,68,52,18,2,18,20,0,218,344,3493,916,134,164,58,89,22,63,6,12,11,13,341,3,0,71,42,251,45,489,85,197,242,27,14,24,0,328,1666,814,16,5,17
42,43,Steven Bergwijn,FW,8,3,312,3.5,0,1,0,0,0,0,0,0.0,0.29,0.29,0.8,0.8,0.5,1.3,0.24,0.13,0.37,0.24,0.37,13,3.75,9,1,1,2,0.58,1,0,0,1,1,1,0,0.0,4,9.1,9,21,14,3,0,3,6,0,74,90,1046,264,45,47,21,25,4,8,5,5,0,8,88,2,0,13,4,3,81,138,21,49,86,15,3,8,0,107,739,481,7,5,10
43,44,Ryan Bertrand,DF,4,4,337,3.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.08,0.08,0.0,0.08,2,0.53,1,1,0,0,0.0,0,0,0,4,1,7,1,80.0,1,33.3,40,24,11,11,3,3,7,0,154,191,2609,1077,75,81,65,78,9,18,2,1,0,7,143,48,4,24,1,136,11,228,71,113,55,4,0,1,1,122,544,216,3,1,5
44,45,Mads Bidstrup,MF,4,0,41,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,2,2,2,0,0.0,2,42.1,12,7,0,1,0,1,2,0,8,11,142,17,5,6,2,4,1,1,0,0,0,0,11,0,0,1,0,3,7,23,9,13,2,0,0,1,0,11,37,17,1,0,2
45,46,Yves Bissouma,MF,14,14,1210,13.4,0,1,0,0,0,6,0,0.0,0.07,0.07,0.6,0.6,0.6,1.2,0.04,0.04,0.09,0.04,0.09,19,1.41,11,0,4,3,0.22,2,0,0,31,25,21,3,81.3,3,35.1,90,116,25,19,1,29,24,0,623,700,11534,2251,270,300,270,292,76,95,5,10,0,37,687,13,11,88,2,72,596,867,253,502,188,13,24,30,1,616,3747,1819,21,4,15
46,47,Jarrod Bowen,FW,20,19,1674,18.6,3,7,3,0,0,2,0,0.16,0.38,0.54,5.6,5.6,4.1,9.7,0.3,0.22,0.52,0.3,0.52,66,3.55,35,13,6,16,0.86,8,3,2,14,14,8,4,40.0,15,21.5,95,136,81,31,2,20,3,0,344,503,6654,1771,161,192,108,147,66,128,29,15,4,27,430,73,12,97,38,373,93,751,107,281,410,94,18,44,1,500,3048,1263,14,18,39
47,48,Jarrad Branthwaite,DF,1,1,90,1.0,1,0,1,0,0,0,0,1.0,0.0,1.0,0.4,0.4,0.0,0.4,0.36,0.0,0.36,0.36,0.36,0,0.0,0,0,0,0,0.0,0,0,0,2,3,0,0,50.0,1,77.8,4,5,0,3,0,3,2,0,5,18,99,70,3,5,1,3,1,8,0,0,0,0,15,3,3,5,0,10,7,28,21,8,2,2,0,0,0,13,85,64,0,0,2
48,49,Armando Broja,FW,15,7,723,8.0,4,0,4,0,0,1,0,0.5,0.0,0.5,2.7,2.7,0.9,3.6,0.34,0.11,0.45,0.34,0.45,15,1.87,6,0,1,3,0.37,0,0,1,7,3,3,2,25.0,3,32.5,11,54,92,8,1,7,4,0,85,144,1034,316,54,83,23,43,1,3,3,0,0,8,142,2,0,54,7,8,73,263,20,124,139,41,10,23,1,155,1050,731,10,13,26
49,50,Josh Brownhill,MF,15,13,1203,13.4,0,0,0,0,0,4,0,0.0,0.0,0.0,0.6,0.6,1.0,1.6,0.05,0.08,0.12,0.05,0.12,25,1.87,20,2,0,0,0.0,0,0,0,13,8,12,2,21.4,11,30.0,68,104,38,19,6,29,18,0,356,470,6289,1405,177,210,126,158,45,81,15,8,0,40,455,15,3,88,8,46,361,584,118,326,168,17,5,8,0,308,1309,557,11,2,6
50,51,Bryan,"MF,FW",8,0,92,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.03,0.07,0.1,0.03,0.1,5,4.89,4,0,0,1,0.98,1,0,0,3,2,0,2,50.0,3,28.6,9,5,21,2,0,0,0,0,49,64,763,238,30,36,14,19,4,5,2,3,2,2,61,3,1,7,4,60,1,82,10,18,59,5,2,3,0,65,393,245,2,0,2
51,52,Emi Buendía,"FW,MF",17,13,1055,11.7,1,3,1,0,0,1,0,0.09,0.26,0.34,1.4,1.4,2.1,3.6,0.12,0.18,0.3,0.12,0.3,36,3.07,31,2,2,6,0.51,3,0,2,17,13,7,5,25.0,15,25.4,60,112,68,11,1,7,3,0,362,466,5846,1650,193,229,124,143,34,65,21,21,3,55,427,39,8,92,14,53,390,610,82,299,270,33,14,24,0,415,1724,971,24,1,36
52,53,Dan Burn,DF,10,9,752,8.4,1,0,1,0,0,2,0,0.12,0.0,0.12,1.1,1.1,0.0,1.1,0.13,0.0,0.13,0.13,0.13,5,0.6,4,0,0,0,0.0,0,0,0,11,10,6,3,37.5,10,31.4,46,44,12,22,7,21,45,1,354,455,7308,2204,93,116,202,234,54,92,1,1,0,29,438,17,10,46,1,351,43,569,301,251,46,9,1,2,0,327,1471,720,4,0,2
53,54,Jack Butland,GK,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,53,78,1129,588,22,22,23,24,8,32,0,0,0,0,53,25,4,6,0,18,48,81,81,0,0,0,0,0,0,40,220,86,0,0,0
54,55,Sam Byram,"DF,MF",2,1,136,1.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.19,0.02,0.21,0.19,0.21,3,1.99,2,0,0,0,0.0,0,0,0,1,1,1,0,100.0,0,27.3,5,12,5,4,1,6,5,0,45,64,742,238,22,27,19,26,3,9,1,0,0,5,57,7,2,11,2,2,47,87,33,38,20,2,0,0,0,44,232,90,1,0,2
55,56,Willy Caballero,GK,2,2,180,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,1,0,39,59,1548,1209,4,4,14,14,21,41,0,0,0,0,41,18,5,1,0,7,50,68,68,0,0,0,0,0,0,37,222,113,0,0,0
56,57,Dominic Calvert-Lewin,FW,4,4,338,3.8,3,0,1,2,3,0,0,0.8,0.0,0.8,4.9,2.6,0.1,2.8,1.31,0.04,1.35,0.7,0.74,9,2.4,5,1,0,2,0.53,1,0,0,0,0,1,1,0.0,1,22.2,2,14,11,3,1,5,3,0,40,63,456,73,24,34,10,14,1,2,3,1,0,2,58,5,0,27,0,2,36,108,11,45,53,21,1,3,1,41,127,22,0,0,1
57,58,João Cancelo,DF,20,20,1787,19.9,1,4,1,0,0,5,0,0.05,0.2,0.25,2.1,2.1,3.0,5.1,0.11,0.15,0.26,0.11,0.26,57,2.87,48,0,2,9,0.45,6,0,1,24,17,14,11,42.9,28,29.8,60,73,48,26,3,44,38,0,1570,1851,28395,8644,723,780,658,750,178,275,22,52,7,152,1673,178,29,137,52,215,1414,2081,343,1165,713,54,25,46,5,1535,6752,3614,77,16,16
58,59,Sergi Canós,DF,18,17,1385,15.4,2,2,2,0,0,5,0,0.13,0.13,0.26,2.0,2.0,1.3,3.3,0.13,0.08,0.21,0.13,0.21,27,1.75,22,2,2,5,0.32,4,0,0,12,23,10,8,36.4,28,23.4,139,119,54,27,1,20,23,0,304,516,5542,2549,149,189,111,166,39,120,12,20,7,58,467,49,10,80,41,65,406,701,189,311,254,42,18,32,4,451,2600,1677,27,10,18
59,60,Todd Cantwell,"FW,MF",8,5,441,4.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.03,0.04,0.07,0.03,0.07,5,1.02,5,0,0,0,0.0,0,0,0,11,8,6,1,28.6,10,23.6,39,46,21,2,0,4,3,0,127,154,2078,457,61,70,50,60,11,16,2,2,0,10,148,6,3,21,3,15,124,215,50,109,70,7,5,11,0,159,608,289,4,0,12
60,61,Matty Cash,DF,19,19,1693,18.8,1,0,1,0,0,4,0,0.05,0.0,0.05,1.2,1.2,1.1,2.3,0.06,0.06,0.12,0.06,0.12,31,1.65,21,4,2,3,0.16,1,2,0,28,33,19,2,59.5,17,31.0,137,100,24,45,7,51,44,0,538,792,10658,4466,217,252,223,291,85,218,12,13,4,51,604,188,23,83,55,59,500,1046,349,450,310,53,9,18,1,528,3327,1819,24,11,26
