,Rk,Player,Pos,MP,Starts,Min,90s,Gls,Ast,NPG,PG,PA_x,YC,RC,Gls/90,Ast/90,G+A/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,SCA,SCA/90,SCPass,SCDeadPass,SCDrib,GCA,GCA/90,GCPass,GCDeadPass,GCDrib,PossTkl,TklDef3rd,TklMid3rd,TklAtt3rd,DriblTkl%,DriblledPast,%SuccPress,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,ShotBlocks,Interception,Clearances,GoalErrors,TCP,PA_y,TotDist,PrgDist,TSPC,SPA,TMPC,MPA,TLPC,LPA,KeyP,Pass18,Cross18,ProgPass,Live,Dead,FKPass,PressPass,Cross,LeftP,RightP,Touches,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,SuccDrib,AtmpDrib,Nutnegs,Carries,TotDistCarry,PrgDistCarry,CarryAtt3rd,Carry18Yd,CarryDIsp
497,436,Cenk Tosun,FW,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,0.0,0,0,1,0,0,0,0,0,2,2,37,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,3,0,0,0,0,0,2,13,0,0,0,0
498,437,Andros Townsend,MF,16,15,1266,14.1,3,2,2,1,1,3,0,0.21,0.14,0.36,2.2,1.4,2.3,3.7,0.15,0.16,0.32,0.1,0.26,50,3.55,36,7,1,4,0.28,4,0,0,15,15,9,3,26.9,19,34.0,75,106,75,36,2,20,5,0,295,418,5255,1838,136,163,121,153,35,83,28,27,13,43,370,48,18,87,50,287,108,612,111,251,303,27,18,34,0,421,2403,1280,23,8,22
499,438,Adama Traoré,FW,18,10,1038,11.5,0,0,0,0,0,0,0,0.0,0.0,0.0,1.8,1.8,1.7,3.6,0.16,0.15,0.31,0.16,0.31,50,4.34,30,0,12,2,0.17,1,0,0,9,7,2,3,22.2,7,30.4,35,68,35,8,1,4,2,0,237,316,4139,790,119,150,83,108,31,41,19,15,7,23,314,2,0,68,27,51,244,480,57,222,269,54,61,84,1,465,3455,2206,30,28,35
500,439,Bertrand Traoré,"MF,FW",6,1,154,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.09,0.0,0.09,0.09,0.09,9,5.26,4,0,3,2,1.17,0,0,1,0,0,0,1,0.0,1,38.5,1,3,9,0,0,0,0,0,43,56,830,207,18,21,18,22,7,8,0,4,0,9,54,2,0,10,2,43,5,88,4,47,45,10,10,21,4,80,457,184,2,4,1
501,440,Trézéguet,FW,1,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.59,0.0,0.59,0.59,0.59,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,6,6,97,37,5,5,0,0,1,1,0,1,0,1,6,0,0,0,0,0,6,9,0,5,4,1,1,1,0,9,30,12,0,0,0
502,441,Francisco Trincão,"FW,MF",15,11,860,9.6,0,0,0,0,0,0,0,0.0,0.0,0.0,2.6,2.6,0.9,3.5,0.28,0.09,0.37,0.28,0.37,27,2.83,17,2,6,0,0.0,0,0,0,10,4,7,3,20.0,4,29.4,45,99,50,16,1,11,0,0,227,293,3818,791,110,128,91,110,20,35,13,7,2,20,278,15,2,65,11,249,23,438,55,212,220,32,22,53,10,322,1702,961,17,5,16
503,442,William Troost-Ekong,DF,16,15,1377,15.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.01,0.01,0.01,0.01,4,0.26,3,0,0,0,0.0,0,0,0,11,11,7,0,54.5,5,36.2,61,41,3,29,14,22,87,1,436,554,11446,3612,64,77,241,269,130,201,1,1,0,31,539,15,13,55,1,61,439,704,466,259,16,4,1,2,0,357,2199,1377,2,0,0
504,443,Leandro Trossard,"FW,MF",18,18,1531,17.0,4,1,3,1,1,1,0,0.24,0.06,0.29,3.5,2.8,1.7,4.5,0.21,0.1,0.31,0.16,0.27,49,2.88,35,4,6,5,0.29,2,1,1,15,8,6,8,16.7,15,31.4,53,108,122,23,0,16,4,0,489,616,8925,1969,235,272,162,206,74,93,25,34,4,73,584,32,8,122,29,100,489,846,104,345,454,86,34,46,0,640,3726,1910,25,18,52
505,444,Kostas Tsimikas,DF,9,6,580,6.4,0,1,0,0,0,2,0,0.0,0.16,0.16,0.2,0.2,1.5,1.6,0.03,0.23,0.26,0.03,0.26,21,3.26,11,10,0,2,0.31,1,1,0,6,6,3,5,50.0,5,34.4,38,32,26,10,1,10,16,0,293,408,5545,2112,120,139,130,166,39,83,16,9,6,29,325,83,7,34,36,280,63,476,121,179,210,18,5,10,1,286,1545,832,18,6,9
506,445,Axel Tuanzebe,DF,9,6,508,5.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.03,0.0,0.03,0.03,0.03,1,0.18,1,0,0,0,0.0,0,0,0,6,6,2,0,40.0,3,27.7,23,20,4,5,4,9,13,1,197,227,4287,1116,50,55,104,115,39,53,0,0,0,6,221,6,6,22,1,17,191,263,161,112,7,3,0,0,0,155,908,419,0,0,0
507,446,Ozan Tufan,MF,7,4,334,3.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.2,0.8,0.14,0.07,0.2,0.14,0.2,7,1.89,6,1,0,0,0.0,0,0,0,2,1,2,1,25.0,3,11.7,23,39,15,4,0,2,4,0,84,120,1547,425,40,47,34,43,9,21,4,1,0,11,110,10,3,30,3,14,94,148,24,86,50,9,2,3,0,80,464,194,4,1,5
